original_sentence,processed_sentence,target,top1_prediction,top3_predictions
黑 的 这 几 <CL> 我 还 蛮 喜欢 的 其他 的 <h>个人</h> 觉得 莎拉伯顿 的 设计 太 纯净 了 有点 唯美 不 像 麦昆 一向 的 诡异 和 黑暗 亚历山大 麦昆 海洋 生物 的 艺术 之 作 17,黑 的 这 几 [MASK] 我 还 蛮 喜欢 的 其他 的 个人 觉得 莎拉伯顿 的 设计 太 纯净 了 有点 唯美 不 像 麦昆 一向 的 诡异 和 黑暗 亚历山大 麦昆 海洋 生物 的 艺术 之 作 17,套,款,"款, 个, 张"
"这 <CL> <h>人</h> 会 间歇 的 尝试 与 人 亲近 接触 , 但 却 常常 失败 。","这 [MASK] 人 会 间歇 的 尝试 与 人 亲近 接触 , 但 却 常常 失败 。",类,种,"种, 些, 类"
打 了 <CL> 下午 <h>篮球</h> 。,打 了 [MASK] 下午 篮球 。,个,个,"个, 下, 些"
"我 亲爱 的 妈 有 <CL> 异于 常人 的 <h>本领</h> , 就 是 在 你 心情 灿烂 的 时候 能够 让 你 突然 抑郁 沉沦 , 觉得 昏 天地 暗 的 !","我 亲爱 的 妈 有 [MASK] 异于 常人 的 本领 , 就 是 在 你 心情 灿烂 的 时候 能够 让 你 突然 抑郁 沉沦 , 觉得 昏 天地 暗 的 !",个,个,"个, 种, 些"
"剩余 两 天 课 一 天 早起 , 两 <CL> <h>省考</h>","剩余 两 天 课 一 天 早起 , 两 [MASK] 省考",次,次,"次, 个, 点"
晨 锅 这 <CL> 你 不 是 亮点 亮点 是 你 后面 的 内位 <h>姐姐</h> 哇 表情 帝丫,晨 锅 这 [MASK] 你 不 是 亮点 亮点 是 你 后面 的 内位 姐姐 哇 表情 帝丫,次,个,"个, 位, 样"
"沉睡 在 E <CL> 中 的 <h>苍老师</h> , 阔别 多日 , 你 还 好么 ?","沉睡 在 E [MASK] 中 的 苍老师 , 阔别 多日 , 你 还 好么 ?",盘,声,"声, 曲, 群"
等 采访 一 <CL> <h>代表</h> 。,等 采访 一 [MASK] 代表 。,个,个,"个, 些, 下"
"今天 董事长 在 睡午觉 , 和 他 老爸 行走 在 讨债 的 康庄 大道 上 , 收回 一 <CL> <h>白条</h> !","今天 董事长 在 睡午觉 , 和 他 老爸 行走 在 讨债 的 康庄 大道 上 , 收回 一 [MASK] 白条 !",张,张,"张, 条, 些"
"意大利 倾覆 <h>游轮</h> 乘客 称 场景 如 泰坦尼克 惨剧 1 <CL> 豪华 游轮 在 意大利 近海 触礁 倾覆 , 幸存 乘客 描述 称 , 当时 大部分 乘客 都 在 用 晚餐 , 突来 的 巨响 打断 了 欢乐 气氛 。","意大利 倾覆 游轮 乘客 称 场景 如 泰坦尼克 惨剧 1 [MASK] 豪华 游轮 在 意大利 近海 触礁 倾覆 , 幸存 乘客 描述 称 , 当时 大部分 乘客 都 在 用 晚餐 , 突来 的 巨响 打断 了 欢乐 气氛 。",艘,版,"版, 片, 级"
回家 四 <CL> <h>钟</h> 又 长安 !,回家 四 [MASK] 钟 又 长安 !,个,分,"分, 点, 个"
"看到 微博 有 这么 一 <CL> <h>话</h> 你 总怪 我 , 对 你 过分 依赖 , 很 奇怪 没有 你 我 该 怎么 办 。","看到 微博 有 这么 一 [MASK] 话 你 总怪 我 , 对 你 过分 依赖 , 很 奇怪 没有 你 我 该 怎么 办 。",句,句,"句, 段, 个"
"VICTIM 2012 年 春夏 系列 <h>新品</h> 型录 日本 品牌 Victim 在 今日 揭露 明 年度 春夏 新品 的 型录 , 可以 看到 一 <CL> 轻便 而 有形 的 薄 外套 , 以 皮革 材料 与 帽夹 的 搭配 为主 也 有 轻便 具 机能性 的 风衣 外套 , 可 搭配 出 具有 outdoor 风格 的 穿 搭 。","VICTIM 2012 年 春夏 系列 新品 型录 日本 品牌 Victim 在 今日 揭露 明 年度 春夏 新品 的 型录 , 可以 看到 一 [MASK] 轻便 而 有形 的 薄 外套 , 以 皮革 材料 与 帽夹 的 搭配 为主 也 有 轻便 具 机能性 的 风衣 外套 , 可 搭配 出 具有 outdoor 风格 的 穿 搭 。",系列,包,"包, 面, 列"
炮火连天 啊 过 年 的 气息 就 是 这样 满 天 的 火药味 买 了 几 <CL> 旺旺 <h>大礼包</h> 送 人 你 旺 我 旺 大家 旺,炮火连天 啊 过 年 的 气息 就 是 这样 满 天 的 火药味 买 了 几 [MASK] 旺旺 大礼包 送 人 你 旺 我 旺 大家 旺,包,个,"个, 盒, 张"
准备 第三 <CL> <h>喔耶</h>,准备 第三 [MASK] 喔耶,轮,集,"集, 季, 波"
"新年 第一 天 , 我 做 了 一 <CL> 浪漫 的 <h>梦</h> , 醒 了 。","新年 第一 天 , 我 做 了 一 [MASK] 浪漫 的 梦 , 醒 了 。",个,个,"个, 场, 次"
大年 初一 因为 要 上班 又 是 一 <CL> <h>人</h> 在 家 好 不 开心 啊,大年 初一 因为 要 上班 又 是 一 [MASK] 人 在 家 好 不 开心 啊,个,个,"个, 家, 群"
穿上 一 <CL> 帅气 的 <h>西装</h> 。,穿上 一 [MASK] 帅气 的 西装 。,身,身,"身, 件, 套"
"一 生 最 重要 的 三 <CL> <h>日子</h> 世界 上 有 你 的 那 天 , 世界 上 有 我 的 那 天 , 我 和 你 成为 我们 的 那 一 天 。","一 生 最 重要 的 三 [MASK] 日子 世界 上 有 你 的 那 天 , 世界 上 有 我 的 那 天 , 我 和 你 成为 我们 的 那 一 天 。",个,个,"个, 种, 件"
中国 大人 秀 居然 把 冠军 给 了 一 <CL> 唱 男人 歌 还 走音 的 <h>女人</h> 。,中国 大人 秀 居然 把 冠军 给 了 一 [MASK] 唱 男人 歌 还 走音 的 女人 。,个,个,"个, 位, 些"
138 我 想 是 那 <CL> 坚强 又 美丽 的 <h>人</h> 。,138 我 想 是 那 [MASK] 坚强 又 美丽 的 人 。,种,个,"个, 样, 种"
"上海 中医药 大学 药学院 副院长 陶建生 曾 道破 天机 考验 一 <CL> <h>药品</h> 能否 服用 , 无非 看 两 点 一 是 疗效 , 一 是 安全 。","上海 中医药 大学 药学院 副院长 陶建生 曾 道破 天机 考验 一 [MASK] 药品 能否 服用 , 无非 看 两 点 一 是 疗效 , 一 是 安全 。",种,种,"种, 款, 个"
"5 在 中央 空调 室内 摆放 一 <CL> <h>水</h> 或 使用 保湿机 , 避免 泪液 蒸发 过 多","5 在 中央 空调 室内 摆放 一 [MASK] 水 或 使用 保湿机 , 避免 泪液 蒸发 过 多",盆,盆,"盆, 杯, 桶"
"结果 11 点 去 到 根据 点 , 又 给 灌 了 近 2 <CL> <h>啤酒</h> 。","结果 11 点 去 到 根据 点 , 又 给 灌 了 近 2 [MASK] 啤酒 。",支,瓶,"瓶, 杯, 桶"
老娘 法眼 一 开 就 知道 你 是 <CL> <h>妖孽</h> 了 。,老娘 法眼 一 开 就 知道 你 是 [MASK] 妖孽 了 。,个,个,"个, 些, 下"
"也许 错过 了 就 错过 了 , 时间 会 帮 我 换 一 <CL> 新 的 <h>梦</h> !","也许 错过 了 就 错过 了 , 时间 会 帮 我 换 一 [MASK] 新 的 梦 !",个,个,"个, 次, 份"
"过敏 体质 的 人 伤 不 起 中午 吃 了 <CL> 桂林 <h>米粉</h> , 脸 又 红 又 肿跟 猪头 一样 , 主管 第一 反应 就 是 嫌 我 丑","过敏 体质 的 人 伤 不 起 中午 吃 了 [MASK] 桂林 米粉 , 脸 又 红 又 肿跟 猪头 一样 , 主管 第一 反应 就 是 嫌 我 丑",碗,碗,"碗, 个, 点"
隔离 玩 单机 游戏 果 <CL> 就 免 提 啦嘉骅 <h>话斋</h> so what,隔离 玩 单机 游戏 果 [MASK] 就 免 提 啦嘉骅 话斋 so what,个,盘,"盘, 个, 粒"
"6 生活 太 艰难 了 , 为了 多 掌握 一 <CL> 吃饭 的 <h>手艺</h> , 我 正在 练习 左 手 使 筷子 。","6 生活 太 艰难 了 , 为了 多 掌握 一 [MASK] 吃饭 的 手艺 , 我 正在 练习 左 手 使 筷子 。",门,些,"些, 点, 下"
分享 一 <CL> 来自 酷狗 音乐 的 <h>歌曲</h> 许巍 曾经 的 你 分享 自 酷 狗 音乐,分享 一 [MASK] 来自 酷狗 音乐 的 歌曲 许巍 曾经 的 你 分享 自 酷 狗 音乐,首,首,"首, 段, 些"
"今天 的 春节 愿望 姐要 热 血 地 好好 学习 , 积极 向上 , 立志 做 一 <CL> 视 钱财 如 粪土 的 <h>屎壳郎</h> , !","今天 的 春节 愿望 姐要 热 血 地 好好 学习 , 积极 向上 , 立志 做 一 [MASK] 视 钱财 如 粪土 的 屎壳郎 , !",个,个,"个, 名, 位"
"来 乡下 吃 餐饭 , 也 要 带 着 目的 来 的 , 都 是 一 <CL> 想 巴结 黑暗 的 官僚主义 的 无良 <h>商人</h> , 也 有 想 寻找 财路 物识 商人 的 父母官 , 官臭 加上 铜臭 的 社会 早 已 猥亵 了 我们 美好 的 理想","来 乡下 吃 餐饭 , 也 要 带 着 目的 来 的 , 都 是 一 [MASK] 想 巴结 黑暗 的 官僚主义 的 无良 商人 , 也 有 想 寻找 财路 物识 商人 的 父母官 , 官臭 加上 铜臭 的 社会 早 已 猥亵 了 我们 美好 的 理想",伙,些,"些, 群, 个"
各 <CL> <h>红包</h> 塞进 口袋 。,各 [MASK] 红包 塞进 口袋 。,种,种,"种, 类, 个"
我 自己 处理 这 <CL> <h>事</h> 好 了 。,我 自己 处理 这 [MASK] 事 好 了 。,件,件,"件, 些, 个"
有 没有 哪 一 <CL> <h>人</h> 愿意 为了 自己 的 女朋友 而 不 抽烟 呢,有 没有 哪 一 [MASK] 人 愿意 为了 自己 的 女朋友 而 不 抽烟 呢,个,个,"个, 种, 类"
"新年 注册 <CL> <h>微博</h> , 说说 身边 的 事 。","新年 注册 [MASK] 微博 , 说说 身边 的 事 。",个,个,"个, 发, 点"
他 在 信 的 末尾处 写道 祝 你 度过 一 <CL> 愉快 的 <h>晚年</h> !,他 在 信 的 末尾处 写道 祝 你 度过 一 [MASK] 愉快 的 晚年 !,个,个,"个, 段, 次"
"此后 罗马 天主教 曾 派出 七 <CL> 主教 <h>来华</h> 协助 孟德 高 维 诺 传教 , 其中 有 三 人 到达 , 并 开辟 了 泉州 等 主教 区 。","此后 罗马 天主教 曾 派出 七 [MASK] 主教 来华 协助 孟德 高 维 诺 传教 , 其中 有 三 人 到达 , 并 开辟 了 泉州 等 主教 区 。",个,位,"位, 名, 个"
以 一 <CL> <h>旅行者</h> 在 路 上 的 心态 入眠 !,以 一 [MASK] 旅行者 在 路 上 的 心态 入眠 !,个,个,"个, 位, 种"
但 我 至少 捡到 了 一 <CL> <h>爱</h> 。,但 我 至少 捡到 了 一 [MASK] 爱 。,份,份,"份, 点, 种"
"早上 五点 起床 , 给 孩子们 化妆 , 给 他们 找 10 <CL> <h>楼</h> 考点 , 和 他们 一起 排 长长 的 队 , 和 他们 说 加油 , 看 着 他们 进 考场 , 希望 他们 都 能 考 个好 成绩 。","早上 五点 起床 , 给 孩子们 化妆 , 给 他们 找 10 [MASK] 楼 考点 , 和 他们 一起 排 长长 的 队 , 和 他们 说 加油 , 看 着 他们 进 考场 , 希望 他们 都 能 考 个好 成绩 。",号,号,"号, 层, 个"
"早上 搬 行李 , 又 跑到 其他 <CL> <h>傻乎乎</h> 说 怎么 开 不 了 门 。","早上 搬 行李 , 又 跑到 其他 [MASK] 傻乎乎 说 怎么 开 不 了 门 。",栋,家,"家, 处, 楼"
三星路 <CL> <h>香酥</h> 鸡咯,三星路 [MASK] 香酥 鸡咯,次,口,"口, 线, 面"
"远远 望去 , 地点 好像 就 是 旅馆 门口 , 战战兢兢潜 过去 , 原来 是 抓 了 三 <CL> 墨西哥 偷 车 小 <h>贼</h> 。","远远 望去 , 地点 好像 就 是 旅馆 门口 , 战战兢兢潜 过去 , 原来 是 抓 了 三 [MASK] 墨西哥 偷 车 小 贼 。",个,个,"个, 名, 只"
我 爱 死 这 <CL> <h>日志</h> 了,我 爱 死 这 [MASK] 日志 了,篇,篇,"篇, 个, 条"
很 讨厌 有些 人 半夜 三 <CL> <h>烧</h> 炮长 !,很 讨厌 有些 人 半夜 三 [MASK] 烧 炮长 !,间,点,"点, 次, 餐"
7 两 <CL> B 型 血 的 <h>人生</h> 出 的 孩子 是 2 B 的 吧 ?,7 两 [MASK] B 型 血 的 人生 出 的 孩子 是 2 B 的 吧 ?,个,个,"个, 种, 位"
我 是 <CL> 保守 的 <h>人</h> 。,我 是 [MASK] 保守 的 人 。,个,个,"个, 位, 些"
除夕 最 大 愿望 就 是 一 亲戚 给 我 一 <CL> 薄薄 的 <h>红包</h> 对 我 说 钱 太 多 了 装 不 进去 里面 有 张卡密码 是 你 生日 自己 去取 哈哈 有 同 感同 鞋 的 转发,除夕 最 大 愿望 就 是 一 亲戚 给 我 一 [MASK] 薄薄 的 红包 对 我 说 钱 太 多 了 装 不 进去 里面 有 张卡密码 是 你 生日 自己 去取 哈哈 有 同 感同 鞋 的 转发,个,个,"个, 张, 块"
"过 了 起飞 时间 还 有 十二 <CL> <h>人</h> 没有 登机 , 争分夺秒 的 春运 啊 , 伤 不 起","过 了 起飞 时间 还 有 十二 [MASK] 人 没有 登机 , 争分夺秒 的 春运 啊 , 伤 不 起",个,个,"个, 号, 组"
"终于 到家 了 , 还是 家 里 好 啊 , 虽然 没 暖气 可 是 杭州 的 那 <CL> <h>暖和</h> 多 了 !","终于 到家 了 , 还是 家 里 好 啊 , 虽然 没 暖气 可 是 杭州 的 那 [MASK] 暖和 多 了 !",间,个,"个, 种, 样"
"我 讨厌 别人 跟 我 说 呵呵 , 讨厌 别人 跟 我 说 对 不 起 , 如果 是 这 两 <CL> <h>词</h> , 我 宁愿 你别 跟 我 说话 , 我 用 不 着","我 讨厌 别人 跟 我 说 呵呵 , 讨厌 别人 跟 我 说 对 不 起 , 如果 是 这 两 [MASK] 词 , 我 宁愿 你别 跟 我 说话 , 我 用 不 着",个,个,"个, 种, 句"
等 一 <CL> <h>晴天</h>,等 一 [MASK] 晴天,个,个,"个, 下, 次"
刚 在 南京 见 了 一 <CL> 粉色 <h>哑光</h> 奔驰 真 骚包,刚 在 南京 见 了 一 [MASK] 粉色 哑光 奔驰 真 骚包,个,个,"个, 辆, 件"
发表 了 博文 完美 婚恋 关系 的 三 <CL> <h>标准</h> !,发表 了 博文 完美 婚恋 关系 的 三 [MASK] 标准 !,个,个,"个, 种, 条"
"我 刚刚 通过 下载 了 安信 证券 宏观 研究 2012 年 1 月 产能 周期 理论 概述 之 二一 <CL> 基于 国际 收支 变化 的 分析 框架 <h>pdf</h> , 推荐 给 大家 !","我 刚刚 通过 下载 了 安信 证券 宏观 研究 2012 年 1 月 产能 周期 理论 概述 之 二一 [MASK] 基于 国际 收支 变化 的 分析 框架 pdf , 推荐 给 大家 !",个,个,"个, 套, 种"
上传 了 1 <CL> <h>照片</h> 到 相册 animation,上传 了 1 [MASK] 照片 到 相册 animation,张,张,"张, 个, 幅"
"她 不必 问 寒 道 暖 , 光是 那 一 <CL> <h>微微的</h> 笑容 就 把 就餐 者 浑身 的 疲惫 、 枯燥 的 心田 熨 得 平展展 的 。","她 不必 问 寒 道 暖 , 光是 那 一 [MASK] 微微的 笑容 就 把 就餐 者 浑身 的 疲惫 、 枯燥 的 心田 熨 得 平展展 的 。",缕,个,"个, 丝, 种"
"万 能 的 微博君 , 赏 我 <CL> <h>结局</h> 呗","万 能 的 微博君 , 赏 我 [MASK] 结局 呗",个,个,"个, 下, 点"
比 一 <CL> 还 <h>堵</h> 。,比 一 [MASK] 还 堵 。,环,路,"路, 般, 次"
每 天 看 几百 <CL> 厚 的 <h>书</h> 而且 还 有 密密麻麻 的 理论 公式 和 定理 记人 名都 怪难 的 什么 凯恩斯 恩格尔 云云 你们 好好 在 西方 做 研究 为何 还 来 毒害 我们 ?,每 天 看 几百 [MASK] 厚 的 书 而且 还 有 密密麻麻 的 理论 公式 和 定理 记人 名都 怪难 的 什么 凯恩斯 恩格尔 云云 你们 好好 在 西方 做 研究 为何 还 来 毒害 我们 ?,页,页,"页, 本, 册"
跟萌 妹子 一 下午 连刷 了 两 <CL> 几么 <h>圆满</h> 哈 皮,跟萌 妹子 一 下午 连刷 了 两 [MASK] 几么 圆满 哈 皮,遍,个,"个, 次, 张"
"换 了 两 <CL> <h>地铁</h> , 都 坐 过 站 。","换 了 两 [MASK] 地铁 , 都 坐 过 站 。",趟,次,"次, 趟, 个"
"生日 快乐 啊 甘 多 年 啦 , 中 记得 第一 <CL> <h>参加</h> 你 生日 party 间 麦当劳 衣家 都 已经 拆 左咯 , 不过 我 地 之间点 都 系 吾 变嘎 , 今日 同 吾 到 你 庆祝 啦 , 不过 你 今日 同 以后 都 要 开开 心心","生日 快乐 啊 甘 多 年 啦 , 中 记得 第一 [MASK] 参加 你 生日 party 间 麦当劳 衣家 都 已经 拆 左咯 , 不过 我 地 之间点 都 系 吾 变嘎 , 今日 同 吾 到 你 庆祝 啦 , 不过 你 今日 同 以后 都 要 开开 心心",次,次,"次, 个, 届"
大家 快 D 来海珠 花市 C132 档 之前 有条 微 薄 话 转 左 有 奖品 原来 系真噶 我 抽 中 左 <CL> <h>HelloKitty</h> 大家 快 D 来 啊,大家 快 D 来海珠 花市 C132 档 之前 有条 微 薄 话 转 左 有 奖品 原来 系真噶 我 抽 中 左 [MASK] HelloKitty 大家 快 D 来 啊,个,个,"个, 架, 次"
"饿 的 失眠 , 好 想 <CL> <h>火锅</h> 。","饿 的 失眠 , 好 想 [MASK] 火锅 。",次,点,"点, 下, 回"
"小 年 来 了 以前 过 小 年 的 时候 , 要 往 灶 门 上 涂 红糖 , 现在 终于 知道 这 是 为什么 了 据说 这 一 天 , 灶王爷 都 要 上天 向 玉皇大帝 报告 这 一 <CL> <h>人</h> 的 善恶 , 让 玉皇大帝 赏 罚 。","小 年 来 了 以前 过 小 年 的 时候 , 要 往 灶 门 上 涂 红糖 , 现在 终于 知道 这 是 为什么 了 据说 这 一 天 , 灶王爷 都 要 上天 向 玉皇大帝 报告 这 一 [MASK] 人 的 善恶 , 让 玉皇大帝 赏 罚 。",家,家,"家, 代, 个"
首 <CL> <h>张宗昌</h> 大骂 读书人 是 狗屁,首 [MASK] 张宗昌 大骂 读书人 是 狗屁,发,席,"席, 次, 批"
今晚 开车 那 <CL> 很 怀念 很 怀念 的 <h>感觉</h>,今晚 开车 那 [MASK] 很 怀念 很 怀念 的 感觉,段,种,"种, 个, 段"
"如果 天气 不 好 , 就 在 家 泡 <CL> <h>茶</h> , 看看 书 , 听听 歌 。","如果 天气 不 好 , 就 在 家 泡 [MASK] 茶 , 看看 书 , 听听 歌 。",壶,杯,"杯, 个, 壶"
女人 一定 要 找 <CL> 会 欣赏 自己 的 <h>男人</h> !,女人 一定 要 找 [MASK] 会 欣赏 自己 的 男人 !,个,个,"个, 些, 对"
"受 苹果 公司 的 iPod 和 iPhone 等 一 <CL> <h>产品</h> 的 影响 , 以 英文 字母 i 开头 俨然 已经","受 苹果 公司 的 iPod 和 iPhone 等 一 [MASK] 产品 的 影响 , 以 英文 字母 i 开头 俨然 已经",系列,些,"些, 类, 批"
生命 不 是 一 <CL> <h>dota</h> 。,生命 不 是 一 [MASK] dota 。,局,场,"场, 个, 部"
我 家 的 沙滩 变得 一点 也 不 漂亮 了 不 喜欢 了 像 <CL> <h>垃圾堆</h> 一样,我 家 的 沙滩 变得 一点 也 不 漂亮 了 不 喜欢 了 像 [MASK] 垃圾堆 一样,个,个,"个, 堆, 座"
"向 我 弟弟 请教 英语 , 还 帮取 我 了 一 <CL> 英文 <h>名</h> 。","向 我 弟弟 请教 英语 , 还 帮取 我 了 一 [MASK] 英文 名 。",个,个,"个, 下, 些"
http t cn h4QJCa 我 用 魔幻 古筝 演奏 了 一 <CL> 动听 的 <h>梅花</h> 三 弄 。,http t cn h4QJCa 我 用 魔幻 古筝 演奏 了 一 [MASK] 动听 的 梅花 三 弄 。,曲,曲,"曲, 首, 段"
世界 上 的 另 一 <CL> 我 <h>心理氧</h> 吧 心理网,世界 上 的 另 一 [MASK] 我 心理氧 吧 心理网,个,个,"个, 种, 面"
"一 <CL> 好 <h>鞋</h> 不 要 在乎 外观 是 不 是 好看 精致 , 穿 的 是否 合脚 只有 自己 知道 。","一 [MASK] 好 鞋 不 要 在乎 外观 是 不 是 好看 精致 , 穿 的 是否 合脚 只有 自己 知道 。",双,双,"双, 只, 个"
是 这 <CL> <h>话</h>,是 这 [MASK] 话,句,句,"句, 个, 些"
大早 上 打 电话 说 少 给 他 一 <CL> <h>运费</h> !,大早 上 打 电话 说 少 给 他 一 [MASK] 运费 !,笔,点,"点, 些, 个"
收 了 <CL> <h>红包</h> 嘎嘎,收 了 [MASK] 红包 嘎嘎,个,个,"个, 张, 点"
"肤色 黝黑 的 空少 一 <CL> 短 <h>打扮</h> , 开始 兜售 酒水 饮料 方便面啥 的 。","肤色 黝黑 的 空少 一 [MASK] 短 打扮 , 开始 兜售 酒水 饮料 方便面啥 的 。",身,身,"身, 个, 袭"
"朋友 都 回去 了 , 只 剩下 我 一 <CL> <h>人</h> 了 , 唉 !","朋友 都 回去 了 , 只 剩下 我 一 [MASK] 人 了 , 唉 !",个,家,"家, 个, 些"
你们 快 去 看 我 人人 分享 的 那 <CL> <h>文章</h> !,你们 快 去 看 我 人人 分享 的 那 [MASK] 文章 !,篇,篇,"篇, 些, 个"
今晚 葛个 <h>婚礼</h> 真系 好 浪漫 啊 好 温馨仲 好 感动 啊 搞到 d 观众 都 泪 汪汪 甘 呢 <CL> 婚礼 够 晒 豪华咯 羡慕 不 来,今晚 葛个 婚礼 真系 好 浪漫 啊 好 温馨仲 好 感动 啊 搞到 d 观众 都 泪 汪汪 甘 呢 [MASK] 婚礼 够 晒 豪华咯 羡慕 不 来,个,个,"个, 下, 对"
"只 是 突然 极 心疼 在 这 一 行 工作 了 那么 久 的 爸爸 , 等 休息 了 一定 要 买 <CL> 最 好 的 <h>护手霜</h> 给 他 。","只 是 突然 极 心疼 在 这 一 行 工作 了 那么 久 的 爸爸 , 等 休息 了 一定 要 买 [MASK] 最 好 的 护手霜 给 他 。",个,个,"个, 些, 点"
拐弯 是 前进 的 一 <CL> <h>方式</h>,拐弯 是 前进 的 一 [MASK] 方式,种,种,"种, 个, 般"
晚上 不 上 婆度 食 饭利 是 少 了 几十 元 妈 稳 借口 话利 是 掉 了 婆话 距 发 钱 行 特别扭 鸡 哈哈妈 去 打 麻雀 <CL> 人 <h>比利</h> 是 又 无比 翻 我,晚上 不 上 婆度 食 饭利 是 少 了 几十 元 妈 稳 借口 话利 是 掉 了 婆话 距 发 钱 行 特别扭 鸡 哈哈妈 去 打 麻雀 [MASK] 人 比利 是 又 无比 翻 我,滴,家,"家, 把, 对"
"让 人 感觉 末日 之 桥 , 带来 <CL> <h>希望</h> 。","让 人 感觉 末日 之 桥 , 带来 [MASK] 希望 。",丝,点,"点, 些, 个"
Lucy 张芯晨 又 完成 了 一 <CL> 市民 的 <h>心愿</h> 。,Lucy 张芯晨 又 完成 了 一 [MASK] 市民 的 心愿 。,个,个,"个, 位, 名"
"在 必胜客 吃 披萨 , 讨 <CL> 好 <h>彩头</h>","在 必胜客 吃 披萨 , 讨 [MASK] 好 彩头",个,个,"个, 点, 回"
"三 <CL> <h>要</h> 记住 吃一堑 长一智 , 经 一 事 长 一 能 , 交 一 友 结 一 缘 。","三 [MASK] 要 记住 吃一堑 长一智 , 经 一 事 长 一 能 , 交 一 友 结 一 缘 。",个,个,"个, 点, 餐"
好 大 几 <CL> <h>酒</h> 哦,好 大 几 [MASK] 酒 哦,缸,杯,"杯, 瓶, 个"
估估 <CL> G <h>糸画</h> 上去 定纹 上去 既 ?,估估 [MASK] G 糸画 上去 定纹 上去 既 ?,个,把,"把, 个, 点"
"倾城 之 泪 全 家 福将 曝光 明星 客串 齐贺 岁 一 <CL> <h>寒流</h> 让 国内 普遍 降温 , 而 北方 大部 地区 也 频现 冬日 雪景 。","倾城 之 泪 全 家 福将 曝光 明星 客串 齐贺 岁 一 [MASK] 寒流 让 国内 普遍 降温 , 而 北方 大部 地区 也 频现 冬日 雪景 。",股,场,"场, 波, 股"
"撑死 了 , 到底 有 几 <CL> <h>菜</h> 都 忘记 了 , 晚饭 不 吃 了 。","撑死 了 , 到底 有 几 [MASK] 菜 都 忘记 了 , 晚饭 不 吃 了 。",道,道,"道, 个, 样"
妈 的 跑 了 半 <CL> <h>小时</h> 现在 腿 还 疼,妈 的 跑 了 半 [MASK] 小时 现在 腿 还 疼,个,个,"个, 把, 点"
"一会儿 有 他 最 爱 的 飞机 餐 , 还 能 把 我 那 <CL> 也 <h>吃</h> 了 , 能 不 激动 不 ?","一会儿 有 他 最 爱 的 飞机 餐 , 还 能 把 我 那 [MASK] 也 吃 了 , 能 不 激动 不 ?",份,个,"个, 些, 餐"
"并 拍 下下面 一 <CL> <h>照片</h> , 说 真的 我 看后 流泪 了 !","并 拍 下下面 一 [MASK] 照片 , 说 真的 我 看后 流泪 了 !",组,张,"张, 组, 些"
而 我 又 怎 能 忘 了 你们 亲爱 <CL> <h>嫂子们</h> 挑 个 吧 等 我 回去 领走 !,而 我 又 怎 能 忘 了 你们 亲爱 [MASK] 嫂子们 挑 个 吧 等 我 回去 领走 !,滴,滴,"滴, 个, 家"
"但 看看 这个 插座 , 再 原有 的 基础 上 再 加上 了 2 <CL> USB <h>接口</h> , 充电 不 仅仅 靠 电脑 的 USB 接口 了 。","但 看看 这个 插座 , 再 原有 的 基础 上 再 加上 了 2 [MASK] USB 接口 , 充电 不 仅仅 靠 电脑 的 USB 接口 了 。",个,个,"个, 条, 组"
除了 玩游戏 还 能 干 <CL> 别 的 <h>不</h> 。,除了 玩游戏 还 能 干 [MASK] 别 的 不 。,点,点,"点, 些, 个"
一 <CL> <h>罗汉</h> 坐 在 大堂 咖啡厅 茶 喝喝,一 [MASK] 罗汉 坐 在 大堂 咖啡厅 茶 喝喝,群,个,"个, 群, 位"
"吃 了 一 <CL> 麻酱 <h>凉皮</h> , 那 滋味 比 想象 的 差远 了 。","吃 了 一 [MASK] 麻酱 凉皮 , 那 滋味 比 想象 的 差远 了 。",碗,口,"口, 碗, 顿"
"专家 认为 当前 的 市场 状况 , 与其 说 是 豪华车 的 盛宴 , 不如 说 更 像 一 <CL> <h>品牌</h> 的 狂欢 。","专家 认为 当前 的 市场 状况 , 与其 说 是 豪华车 的 盛宴 , 不如 说 更 像 一 [MASK] 品牌 的 狂欢 。",场,个,"个, 场, 种"
要 想 照顾 每 <CL> <h>人</h> 的 感受 。,要 想 照顾 每 [MASK] 人 的 感受 。,个,个,"个, 种, 位"
"那 我 就 给 <CL> <h>机会</h> 你 了解呗 , 反正 , 我 是 要 追到 你 的 。","那 我 就 给 [MASK] 机会 你 了解呗 , 反正 , 我 是 要 追到 你 的 。",个,个,"个, 点, 些"
"跑到 荥经 买 了 <CL> 小 <h>砂锅</h> , 顺便 吃 了 传说 中 好吃 到 爆 的 凉粉 , 小米辣 伴 着 凉粉 入口 , 确实 很 爽正宗 的 哒哒面 和 棒棒 鸡 都 因 过 年 关门 没 吃 成 雅西 高速 到 荥经 就 封闭 了 据说 3 月 才 正式 通车","跑到 荥经 买 了 [MASK] 小 砂锅 , 顺便 吃 了 传说 中 好吃 到 爆 的 凉粉 , 小米辣 伴 着 凉粉 入口 , 确实 很 爽正宗 的 哒哒面 和 棒棒 鸡 都 因 过 年 关门 没 吃 成 雅西 高速 到 荥经 就 封闭 了 据说 3 月 才 正式 通车",个,个,"个, 份, 些"
